ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
witotonipode-105_sonajeromaraca-1-1,witotonipode-105_sonajeromaraca-1,kaβáʤe,105_sonajeromaraca-22461,false,expert,Chacon2017,k a β a ʤ e,,Chacon2017
kamsa-53_lengua-1-1,kamsa-53_lengua-1,biʧtáxa,53_lengua-12950,false,expert,Chacon2017,b i ʧ t a x a,,Chacon2017
witotonipode-74_orejeraarete-1-1,witotonipode-74_orejeraarete-1,kumáɗɯkɯ,74_orejeraarete-17058,false,expert,Chacon2017,k u m a ɗ ɯ k ɯ,,Chacon2017
witotonipode-29_curandero-1-1,witotonipode-29_curandero-1,manóriraɯma,29_curandero-6993,false,expert,Chacon2017,m a n o r i r a ɯ m a,,Chacon2017
kamsa-67_nariz-1-1,kamsa-67_nariz-1,tsxáɕe,67_nariz-15509,false,expert,Chacon2017,ts x a ɕ e,,Chacon2017
kamsa-72_ojo-1-1,kamsa-72_ojo-1,bɕni̵bé,72_ojo-16702,false,expert,Chacon2017,b ɕ - - - n i̵ b e,,Chacon2017
kamsa-72_ojo-2-1,kamsa-72_ojo-2,bomínje,72_ojo-16702,false,expert,Chacon2017,b - o m i n j - e,,Chacon2017
kamsa-73_oreja-1-1,kamsa-73_oreja-1,matskuáɕe,73_oreja-16948,false,expert,Chacon2017,( m a ts ) k u - - a ɕ e - - - - - - -,,Chacon2017
cabiyari-3_agua-1-1,cabiyari-3_agua-1,ʔuuni,3_agua-26645,false,expert,Chacon2017,ʔ uu - n - i,,Chacon2017
witotonipode-119_ustedes-1-1,witotonipode-119_ustedes-1,ómaɯ,119_ustedes-24282,false,expert,Chacon2017,- - - o m a - - - ɯ - - - -,,Chacon2017
witotonipode-119_ustedes-2-1,witotonipode-119_ustedes-2,ómaɯko,119_ustedes-24282,false,expert,Chacon2017,- - - o m a ɯ k o - - - - -,,Chacon2017
kamsa-58_mano-1-1,kamsa-58_mano-1,kukuátɕe,58_mano-13857,false,expert,Chacon2017,- - k u - k u a t ɕ e -,,Chacon2017
kamsa-31_diente-1-1,kamsa-31_diente-1,xuatsáɕe,31_diente-26290,false,expert,Chacon2017,x u a ts - a ɕ e,,Chacon2017
kamsa-96_rodilla-1-1,kamsa-96_rodilla-1,ntsamiáɕe,96_rodilla-21080,false,expert,Chacon2017,n ts a m i a ɕ e,,Chacon2017
tucano-92_pulga-1-1,tucano-92_pulga-1,dĩ̵ʔkõẽ́wĩ̵,92_pulga-19816,false,expert,Chacon2017,- - - - d ĩ̵ ʔ k õ - - ẽ w ĩ̵ - -,,Chacon2017
kamsa-87_piel-1-1,kamsa-87_piel-1,bobáʧe,87_piel-18855,false,expert,Chacon2017,b o b a ʧ e,,Chacon2017
kamsa-46_hueso-1-1,kamsa-46_hueso-1,betáɕe,46_hueso-11566,false,expert,Chacon2017,b e t a - ɕ e,,Chacon2017
kamsa-46_hueso-2-1,kamsa-46_hueso-2,betábxa,46_hueso-11566,false,expert,Chacon2017,b e t a b x a,,Chacon2017
kamsa-99_sangre-1-1,kamsa-99_sangre-1,buíɲe,99_sangre-21595,false,expert,Chacon2017,b u i ɲ e,,Chacon2017
